Zonas turísticas;País de residencia;Meses;Total
Andalucía: Costa de la Luz de Cádiz;Bélgica;Octubre;1.872
Andalucía: Costa de la Luz de Cádiz;Bélgica;Noviembre;489
Andalucía: Costa de la Luz de Cádiz;Bélgica;Diciembre;554
Andalucía: Costa de la Luz de Cádiz;Dinamarca;Total;5.763
Andalucía: Costa de la Luz de Cádiz;Dinamarca;Enero;190
Andalucía: Costa de la Luz de Cádiz;Dinamarca;Febrero;240
Andalucía: Costa de la Luz de Cádiz;Dinamarca;Marzo;711
Andalucía: Costa de la Luz de Cádiz;Dinamarca;Abril;637
Andalucía: Costa de la Luz de Cádiz;Dinamarca;Mayo;632
Andalucía: Costa de la Luz de Cádiz;Dinamarca;Junio;291
Andalucía: Costa de la Luz de Cádiz;Dinamarca;Julio;711
Andalucía: Costa de la Luz de Cádiz;Dinamarca;Agosto;320
Andalucía: Costa de la Luz de Cádiz;Dinamarca;Septiembre;823
Andalucía: Costa de la Luz de Cádiz;Dinamarca;Octubre;621
Andalucía: Costa de la Luz de Cádiz;Dinamarca;Noviembre;375
Andalucía: Costa de la Luz de Cádiz;Dinamarca;Diciembre;212
Andalucía: Costa de la Luz de Cádiz;Finlandia;Total;2.592
Andalucía: Costa de la Luz de Cádiz;Finlandia;Enero;67
