Sexo;Isla;Edad;Periodo;Total
Hombres;Lanzarote;De 45 a 54 años;2023;498
Hombres;Lanzarote;De 45 a 54 años;2022;403
Hombres;Lanzarote;De 45 a 54 años;2021;363
Hombres;Lanzarote;De 55 a 64 años;2023;307
Hombres;Lanzarote;De 55 a 64 años;2022;308
Hombres;Lanzarote;De 55 a 64 años;2021;294
Hombres;Lanzarote;65 y más años;2023;219
Hombres;Lanzarote;65 y más años;2022;217
Hombres;Lanzarote;65 y más años;2021;276
Hombres;38 Santa Cruz de Tenerife;Total;2023;16.516
Hombres;38 Santa Cruz de Tenerife;Total;2022;16.211
Hombres;38 Santa Cruz de Tenerife;Total;2021;12.561
Hombres;38 Santa Cruz de Tenerife;De 0 a 15 años;2023;2.499
Hombres;38 Santa Cruz de Tenerife;De 0 a 15 años;2022;2.478
Hombres;38 Santa Cruz de Tenerife;De 0 a 15 años;2021;1.583
Hombres;38 Santa Cruz de Tenerife;De 16 a 24 años;2023;2.526
Hombres;38 Santa Cruz de Tenerife;De 16 a 24 años;2022;2.342
Hombres;38 Santa Cruz de Tenerife;De 16 a 24 años;2021;1.741
Hombres;38 Santa Cruz de Tenerife;De 25 a 34 años;2023;3.144
Hombres;38 Santa Cruz de Tenerife;De 25 a 34 años;2022;3.045
Hombres;38 Santa Cruz de Tenerife;De 25 a 34 años;2021;2.224
Hombres;38 Santa Cruz de Tenerife;De 35 a 44 años;2023;2.833
Hombres;38 Santa Cruz de Tenerife;De 35 a 44 años;2022;2.772
Hombres;38 Santa Cruz de Tenerife;De 35 a 44 años;2021;1.959
Hombres;38 Santa Cruz de Tenerife;De 45 a 54 años;2023;2.377
Hombres;38 Santa Cruz de Tenerife;De 45 a 54 años;2022;2.329
Hombres;38 Santa Cruz de Tenerife;De 45 a 54 años;2021;1.837
Hombres;38 Santa Cruz de Tenerife;De 55 a 64 años;2023;1.737
Hombres;38 Santa Cruz de Tenerife;De 55 a 64 años;2022;1.779
Hombres;38 Santa Cruz de Tenerife;De 55 a 64 años;2021;1.544
Hombres;38 Santa Cruz de Tenerife;65 y más años;2023;1.400
Hombres;38 Santa Cruz de Tenerife;65 y más años;2022;1.466
Hombres;38 Santa Cruz de Tenerife;65 y más años;2021;1.673
Hombres;Gomera, La;Total;2023;370
Hombres;Gomera, La;Total;2022;337
Hombres;Gomera, La;Total;2021;269
Hombres;Gomera, La;De 0 a 15 años;2023;57
Hombres;Gomera, La;De 0 a 15 años;2022;52
Hombres;Gomera, La;De 0 a 15 años;2021;44
